,Gene,Zbtb3,Rad21,Npas2,Atf1,Smc3,Creb3,Mxi1,Mxd4,Dlx5,Crem,Rfx5,Mesp1,Rfx1,Esx1,Hoxa4,Rfx2,Etv2,Creb3l4,Rfx4,Hsfy2
120,Klk1b5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5747146536247778,0.0,0.0
121,Lmnb2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-190.26301831064424,0.0,0.0
122,Plcg2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,Fam217a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-147.61531795067177,0.0
124,Fsd1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,Dnajc18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-86.13302457519981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.42000667413247,0.0
126,Rnf17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1408607896438943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,Ccdc103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,Fbp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-717.3671395318975
129,Fam222a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.702251479602419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.31137644110822,-32.16883618244402,0.0
130,Ccdc184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0484676366021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1355613628780697,0.0
131,4933405L10Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,Pnoc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4354848902140556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.249196079747608,0.0
133,Syngr4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-489.8053673187394,0.0,-35.66588892607043,72.57961824633641,0.0,225.51215813555152,2728.833600835844,-5.4802218617305005,-1.4102881439632955
134,Lypd4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-203.24552769864556,0.0,-25.96985453430757,0.0,0.0,213.60936691137422,53.23588151320576,0.0,-114.85386986684728,-245.4476869618938,-343.3730562913931,-404.0306658655901
135,Chrne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-59.14671967242541,-1031.9217450665005,0.0,0.0
